fixture_id,league_id,league_name,home_team_id,home_team_name,away_team_id,away_team_name,goals_half_time_home,goals_half_time_away,goals_full_time_home,goals_full_time_away,goals_extra_time_home,goals_extra_time_away,goals_penalty_home,goals_penalty_away,league_round,expected_goals_home,shots_on_goal_home,shots_off_goal_home,shots_insidebox_home,shots_outsidebox_home,total_shots_home,blocked_shots_home,fouls_home,corner_kicks_home,offsides_home,ball_possession_home,yellow_cards_home,red_cards_home,goalkeeper_saves_home,total_passes_home,passes_accurate_home,passes_percentage_home,expected_goals_away,shots_on_goal_away,shots_off_goal_away,shots_insidebox_away,shots_outsidebox_away,total_shots_away,blocked_shots_away,fouls_away,corner_kicks_away,offsides_away,ball_possession_away,yellow_cards_away,red_cards_away,goalkeeper_saves_away,total_passes_away,passes_accurate_away,passes_percentage_away,formation_home,formation_away,start_xi_home,substitutions_home,coach_home_team,start_xi_away,substitutions_away,coach_away_team
710674,39,Premier League,38,Watford,33,Manchester United,2,0,4,1,,,,,Regular Season - 12,,7.0,6.0,15.0,5.0,20.0,7.0,7.0,8.0,1.0,0.39,2.0,0.0,2.0,335.0,224.0,0.67,,3.0,5.0,8.0,1.0,9.0,1.0,5.0,3.0,4.0,0.61,3.0,1.0,3.0,553.0,442.0,0.8,4-1-4-1,4-2-3-1,"['18791', '30503', '18793', '18794', '18799', '179', '18804', '21100', '18881', '80', '2218']","['2773', '47582', '10329', '44775', '18874', '193296', '19251', '167', '49942']",,"['882', '889', '2935', '891', '18846', '902', '1485', '903', '874', '909', '18']","['908', '547', '886', '900', '2931', '885', '901', '905', '378']",
193391,39,Premier League,746,Sunderland,45,Everton,0,0,0,1,,,,,Regular Season - 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['51146', '83131', '19609', '18912', '2278', '114744', '19899', '18900', '19299', '18857', '1648']","['2859', '19526', '30749', '111312', '50228', '6015', '95571']",,"['51298', '18757', '114747', '626', '19153', '114746', '18758', '18763', '44881', '907', '18809']","['2287', '19907', '1558', '114755', '30412', '20104', '70752']",
1035338,39,Premier League,49,Chelsea,62,Sheffield Utd,0,0,2,0,,,,,Regular Season - 17,3.05,6.0,4.0,7.0,8.0,15.0,5.0,9.0,7.0,3.0,0.78,1.0,,1.0,815.0,740.0,0.91,0.36,1.0,1.0,3.0,3.0,6.0,4.0,14.0,5.0,1.0,0.22,3.0,,4.0,226.0,138.0,0.61,4-2-3-1,4-1-4-1,"['118307', '21998', '259', '95', '152953', '116117', '67972', '645', '152982', '63577', '283058']","['5996', '138822', '138816', '161907', '289618', '152955', '19012', '284406', '269']",,"['1736', '19201', '1949', '50737', '44809', '10169', '158697', '36929', '379150', '137302', '19337']","['315237', '19105', '199310', '19779', '19090', '152969', '304161', '19302', '138828']",
194060,39,Premier League,45,Everton,49,Chelsea,1,0,2,0,,,,,Regular Season - 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['51298', '114786', '18757', '114747', '77105', '90513', '114801', '12753', '19553', '105421', '6289']","['37434', '114755', '18962', '44963', '61920', '2287', '8740']",,"['1436', '19203', '114806', '1200', '2283', '105426', '106799', '114800', '33413', '308', '901']","['113642', '18936', '907', '19243', '114828', '87726', '2281']",
1035055,39,Premier League,48,West Ham,49,Chelsea,1,1,3,1,,,,,Regular Season - 2,1.8,6.0,3.0,7.0,5.0,12.0,3.0,12.0,3.0,3.0,0.24,4.0,1.0,3.0,227.0,157.0,0.69,2.49,4.0,9.0,11.0,6.0,17.0,4.0,9.0,9.0,2.0,0.76,3.0,0.0,3.0,716.0,630.0,0.88,4-2-3-1,3-4-2-1,"['253', '1231', '2726', '21694', '2284', '1243', '2938', '19428', '1646', '19361', '18819']","['18817', '1697', '2869', '18955', '2997', '284409', '18823', '665', '18813']",,"['18959', '21998', '259', '152953', '161907', '5996', '67972', '2933', '645', '138935', '283058']","['63577', '116117', '136723', '331563', '181797', '270508', '152955', '47380', '138816']",
1035353,39,Premier League,39,Wolves,49,Chelsea,0,0,2,1,,,,,Regular Season - 18,1.27,6.0,3.0,8.0,6.0,14.0,5.0,11.0,10.0,3.0,0.32,3.0,,3.0,266.0,176.0,0.66,2.06,5.0,4.0,8.0,8.0,16.0,7.0,9.0,6.0,0.0,0.68,6.0,,4.0,600.0,527.0,0.88,3-4-2-1,4-2-3-1,"['1590', '18744', '19147', '41606', '130', '18947', '195103', '21138', '24888', '2056', '1165']","['135334', '144732', '18742', '280687', '171035', '7722', '284239', '284259', '19341']",,"['118307', '161907', '21998', '259', '152953', '270508', '67972', '152982', '283058', '645', '138822']","['269', '63577', '138816', '136723', '95', '289618', '152955', '282125', '19012']",
1035480,39,Premier League,49,Chelsea,33,Manchester United,2,2,4,3,,,,,Regular Season - 31,3.02,10.0,9.0,19.0,9.0,28.0,9.0,7.0,12.0,3.0,0.57,3.0,,2.0,549.0,470.0,0.86,1.47,5.0,7.0,13.0,6.0,19.0,7.0,15.0,3.0,0.0,0.43,1.0,,6.0,426.0,341.0,0.8,4-2-3-1,4-2-3-1,"['118307', '161907', '21998', '95', '47380', '116117', '5996', '152982', '67972', '63577', '283058']","['645', '138935', '284406', '19720', '136723', '270507', '19012', '284404', '259']",,"['526', '18846', '2935', '742', '886', '747', '284322', '9971', '1485', '284324', '288006']","['18772', '909', '288112', '903', '19220', '157997', '74', '174', '2931']",
194063,39,Premier League,76,Swansea,71,Norwich,1,0,2,3,,,,,Regular Season - 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['160', '19181', '19500', '19583', '49931', '19325', '1133', '53466', '2795', '19357', '19488']","['114823', '19332', '100943', '90508', '114832', '114814', '18995']",,"['18737', '114874', '18015', '19318', '17426', '18879', '20401', '19474', '19561', '45018', '82563']","['82079', '19158', '19653', '19174', '19216', '82048', '20256']",
193017,39,Premier League,46,Leicester,34,Newcastle,2,0,3,0,,,,,Regular Season - 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['2728', '90512', '40175', '18774', '91254', '18782', '18777', '35672', '635', '18788', '18843']","['6898', '114748', '726', '87896', '2288', '104311', '18931']",,"['19061', '6599', '20080', '18277', '18796', '18892', '5946', '179', '19299', '20539', '18906']","['6830', '36788', '19484', '22093', '19699', '21704', '18889']",
1035038,39,Premier League,42,Arsenal,65,Nottingham Forest,2,0,2,1,,,,,Regular Season - 1,0.83,7.0,3.0,8.0,7.0,15.0,5.0,12.0,8.0,2.0,0.78,2.0,,1.0,769.0,693.0,0.9,1.18,2.0,3.0,4.0,2.0,6.0,1.0,12.0,3.0,1.0,0.22,2.0,,5.0,200.0,137.0,0.69,4-3-3,3-4-3,"['20355', '49', '19959', '22090', '38746', '37127', '2937', '978', '1460', '1468', '127769']","['2597', '1946', '22224', '1161', '41725', '2289', '727', '169295', '61431']",,"['50999', '18739', '1746', '44811', '163', '19305', '24882', '2771', '275170', '129711', '18746']","['8598', '138780', '153430', '18931', '2991', '62', '20503', '25916', '2807']",
