game_id,minute,home_team_possession,away_team_possession
1729430,40,30.0,70.0
1729430,45+4,33.9,66.1
1729430,50,33.5,66.5
1729430,60,32.8,67.2
1729430,70,33.3,66.7
1729430,80,36.9,63.1
1729430,90,39.0,61.0
1729430,90+6,39.9,60.1
1640831,10,45.7,54.3
1640831,20,57.9,42.1
1640831,30,57.9,42.1
1640831,40,55.6,44.4
1640831,45+2,55.6,44.4
1640831,50,56.5,43.5
1640831,60,54.6,45.4
1640831,70,53.3,46.7
1640831,80,53.1,46.9
1640831,90,54.9,45.1
1640831,90+3,54.7,45.3
1640697,10,49.4,50.6
1640697,20,53.1,46.9
1640697,30,55.2,44.8
1640697,40,46.3,53.7
1640697,45+2,45.4,54.6
1640697,50,45.7,54.3
1640697,60,43.2,56.8
1640697,70,42.0,58.0
1640697,80,42.4,57.6
1640697,90,43.7,56.3
1640697,90+4,43.7,56.3
1640676,10,40.7,59.3
1640676,20,41.2,58.8
1640676,30,37.3,62.7
1640676,40,35.2,64.8
1640676,45+3,35.2,64.8
1640676,50,36.2,63.8
1640676,60,34.4,65.6
1640676,70,34.8,65.2
1640676,80,35.9,64.1
1640676,90,34.3,65.7
1640676,90+6,34.4,65.6
1729354,10,51.4,48.6
1729354,20,47.4,52.6
1729354,30,50.0,50.0
1729354,40,55.4,44.6
1729354,45+4,55.2,44.8
1729354,50,53.5,46.5
1729354,60,53.9,46.1
1729354,70,52.5,47.5
1729354,80,52.5,47.5
1729354,90,53.1,46.9
1729354,90+9,52.5,47.5
1640885,10,69.6,30.4
1640885,20,61.2,38.8
1640885,30,59.6,40.4
1640885,40,60.7,39.3
1640885,45+1,59.4,40.6
1640885,50,57.6,42.4
1640885,60,57.2,42.8
1640885,70,58.8,41.2
1640885,80,59.5,40.5
1640885,90,59.5,40.5
1640885,90+3,59.6,40.4
1729361,10,51.3,48.7
1729361,20,42.3,57.7
1729361,30,39.7,60.3
1729361,40,40.3,59.7
1729361,45+5,41.4,58.6
1729361,45+6,42.3,57.7
1729361,50,43.5,56.5
1729361,60,40.8,59.2
1729361,70,47.3,52.7
1729361,80,50.9,49.1
1729361,90,53.9,46.1
1729361,90+5,54.7,45.3
1729340,10,50.0,50.0
1729340,20,59.0,41.0
1729340,30,56.4,43.6
1729340,40,55.2,44.8
1729340,45+2,57.6,42.4
1729340,50,59.0,41.0
1729340,60,60.6,39.4
1729340,70,61.8,38.2
1729340,80,62.6,37.4
1729340,90,61.9,38.1
1729340,90+8,60.8,39.2
1641027,10,64.9,35.1
1641027,20,65.2,34.8
1641027,30,69.4,30.6
1641027,40,65.7,34.3
1641027,45+2,62.4,37.6
1641027,50,63.0,37.0
1641027,60,65.3,34.7
1641027,70,67.4,32.6
1641027,80,68.7,31.3
1641027,90,69.0,31.0
1641027,90+10,68.9,31.1
1641022,10,57.9,42.1
1641022,20,69.5,30.5
1641022,30,65.9,34.1
1641022,40,67.2,32.8
1641022,45+1,67.9,32.1
1641022,50,71.7,28.3
1641022,60,72.5,27.5
1641022,70,73.0,27.0
1641022,80,73.2,26.8
1641022,90,72.6,27.4
1641022,90+4,72.9,27.1
1729233,10,38.5,61.5
1729233,20,33.6,66.4
1729233,30,25.8,74.2
1729233,40,25.2,74.8
1729233,45+2,26.4,73.6
1729233,50,26.1,73.9
1729233,60,27.2,72.8
1729233,70,27.9,72.1
1729233,80,27.8,72.2
1729233,90,26.4,73.6
1729233,90+9,26.2,73.8
1729380,10,69.2,30.8
1729380,20,73.5,26.5
1729380,30,72.7,27.3
1729380,40,70.7,29.3
1729380,45+4,70.2,29.8
1729380,50,68.2,31.8
1729380,60,67.0,33.0
1729380,70,67.4,32.6
1729380,80,68.6,31.4
1729380,90,69.9,30.1
1729380,90+8,69.9,30.1
1729304,10,31.3,68.7
1729304,20,31.2,68.8
1729304,30,27.7,72.3
1729304,40,31.4,68.6
1729304,45+3,30.9,69.1
1729304,50,32.0,68.0
