fixture_id,event_time,team_id,event_type,detailed_type,main_player_id,secondary_player_id
1035037,4,50,Goal,Normal Goal,1100,44
1035037,23,50,subst,Substitution 1,629,2291
1035037,36,50,Goal,Normal Goal,1100,6009
1035037,61,44,subst,Substitution 1,359603,22
1035037,74,44,subst,Substitution 3,25628,8589
1035037,75,50,Goal,Normal Goal,44,
1035037,79,50,subst,Substitution 2,18861,622
1035037,80,50,subst,Substitution 4,1100,152982
1035037,90,44,Card,Red Card,129169,
1035037,90,44,Var,Card upgrade,129169,
1035037,90,44,subst,Substitution 4,98936,18948
1035037,90,50,subst,Substitution 5,627,158697
1035038,26,42,Goal,Normal Goal,1468,127769
1035038,28,65,Card,Yellow Card,2771,
1035038,32,42,Goal,Normal Goal,1460,22090
1035038,45,42,Card,Yellow Card,38746,
1035038,50,42,subst,Substitution 1,38746,2597
1035038,71,65,subst,Substitution 1,275170,8598
1035038,72,65,subst,Substitution 2,2771,138780
1035038,74,42,subst,Substitution 2,1468,1946
1035038,80,65,subst,Substitution 3,129711,153430
1035038,81,65,Card,Yellow Card,24882,
1035038,82,65,Goal,Normal Goal,8598,153430
1035038,86,42,subst,Substitution 3,127769,22224
1035038,90,42,Card,Yellow Card,19959,
1035038,90,65,subst,Substitution 4,1746,18931
1035039,39,48,Card,Yellow Card,19428,
1035039,49,48,Card,Yellow Card,18819,
1035039,51,48,Goal,Normal Goal,19428,1243
1035039,60,35,subst,Substitution 1,6610,18866
1035039,67,35,subst,Substitution 3,1125,19804
1035039,75,35,subst,Substitution 4,18870,19281
1035039,78,48,subst,Substitution 1,18819,18955
1035039,82,35,Goal,Normal Goal,18883,
1035039,86,48,subst,Substitution 2,1697,261
1035039,87,48,Card,Yellow Card,2284,
1035039,90,35,Card,Yellow Card,18866,
1035039,90,48,Card,Yellow Card,1646,
1035039,90,48,subst,Substitution 3,1646,665
1035041,30,36,Card,Yellow Card,2294,
1035041,46,36,subst,Substitution 1,2294,19004
1035041,58,36,subst,Substitution 2,2887,2825
1035041,72,45,subst,Substitution 1,19364,83
1035041,73,36,Goal,Normal Goal,19004,
1035041,83,45,subst,Substitution 2,895,153425
1035041,87,36,Card,Yellow Card,657,
1035040,7,51,Card,Yellow Card,46731,
1035040,36,51,Goal,Normal Goal,18973,106835
1035040,43,51,Card,Yellow Card,106835,
1035040,51,1359,Card,Yellow Card,15632,
1035040,59,1359,Card,Yellow Card,140947,
1035040,64,1359,subst,Substitution 1,140947,19829
1035040,71,51,Goal,Penalty,10329,
1035040,74,51,subst,Substitution 1,18973,301771
1035040,76,1359,subst,Substitution 3,15632,19365
1035040,78,51,subst,Substitution 3,1469,129643
1035040,79,51,subst,Substitution 4,296,537
1035040,79,1359,Var,Penalty confirmed,19083,
1035040,81,1359,Goal,Penalty,19083,
1035040,85,51,Goal,Normal Goal,301771,
1035040,88,51,subst,Substitution 5,10329,70747
1035040,88,1359,subst,Substitution 4,906,19759
1035040,90,51,Goal,Normal Goal,129643,46731
1035042,16,62,Card,Yellow Card,315237,
1035042,49,52,Goal,Normal Goal,1135,3428
1035042,57,62,Card,Yellow Card,1949,
1035042,80,62,subst,Substitution 1,19091,10169
1035042,86,62,Card,Yellow Card,199310,
1035042,87,62,subst,Substitution 4,304161,277716
1035042,90,52,subst,Substitution 1,67971,18844
1035043,6,34,Goal,Normal Goal,31146,138787
1035043,6,66,Card,Yellow Card,47522,
1035043,11,66,Goal,Normal Goal,277,19366
1035043,16,34,Goal,Normal Goal,2864,38734
1035043,31,66,subst,Substitution 1,19179,46815
1035043,32,66,Card,Yellow Card,2724,
1035043,45,34,Card,Yellow Card,38734,
1035043,45,66,Card,Yellow Card,19599,
1035043,46,66,subst,Substitution 2,983,2926
1035043,48,66,Card,Yellow Card,19298,
1035043,53,34,Card,Yellow Card,138787,
1035043,58,34,Goal,Normal Goal,2864,
1035043,64,66,subst,Substitution 3,19191,21090
1035043,67,34,Card,Yellow Card,10135,
1035043,68,34,subst,Substitution 1,138787,18778
1035043,77,34,Goal,Normal Goal,2939,18778
1035043,85,34,subst,Substitution 3,10135,18901
1035043,86,34,subst,Substitution 4,2507,19163
1035043,87,66,subst,Substitution 4,277,147
1035043,90,34,Card,Yellow Card,31146,
1035043,90,34,Goal,Normal Goal,18778,19163
1035043,90,34,subst,Substitution 5,31146,138908
1035044,11,47,Goal,Normal Goal,30776,18784
1035044,14,47,subst,Substitution 1,30776,168
1035044,25,55,Var,Penalty confirmed,47438,
1035044,26,47,Card,Yellow Card,31354,
1035044,27,55,Goal,Penalty,20589,
