season,player_id,firstname,lastname,age,height,weight,appearances,lineups,minutes_played,position,rating,captain,substitutions_in,substitutions_out,bench_appearances,total_shots,shots_on_target,total_goals,assists,goals_conceded,saves,total_passes,key_passes,pass_accuracy,total_tackles,blocks,interceptions,total_duels,duels_won,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,fouls_committed,yellow_cards,yellow_red_cards,red_cards,penalties_won,penalties_committed,penalties_scored,penalties_missed,penalties_saved
2010,47411,Nabil,El Zhar,37.0,171,66,0,0,0,Midfielder,,False,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,98466,Lauri,Dalla Valle,30.0,,,0,0,0,Attacker,,False,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,114902,Sotirios,Kyrgiakos,42.0,193,88,16,10,1078,Defender,,False,6,2,22,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,114800,Raul José,Trindade Meireles,33.0,179,70,33,32,2543,Midfielder,,False,1,18,1,0,0,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2010,93990,Dirk,Kuijt,37.0,184,83,33,32,2821,Attacker,,False,1,7,1,0,0,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2010,114211,Milan,Jovanović,40.0,183,73,10,5,459,Attacker,,False,5,3,15,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,114577,Fábio,Aurélio Rodrigues,35.0,173,73,14,7,565,Defender,,False,7,3,12,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2010,106798,Nathan,Eccleston,31.0,178,66,1,0,9,Attacker,,False,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,33413,Fernando José,Torres Sanz,35.0,186,79,23,22,1895,Attacker,,False,1,5,1,0,0,9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2010,1350,Martin,Škrtel,38.0,191,81,38,38,3420,Defender,,False,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2010,82105,Stephen,Darby,30.0,185,75,0,0,0,Defender,,False,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,28434,David,N'Gog,32.0,190,76,25,9,1057,Attacker,,False,16,7,25,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,6353,Maximiliano Rubén,Rodríguez,41.0,180,74,28,24,2045,Attacker,,False,4,13,13,0,0,10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2010,13073,Javier Alejandro,Mascherano,37.0,174,73,1,1,78,Defender,,False,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,44297,Bradley Scott,Jones,41.0,194,76,0,0,0,Goalkeeper,,False,0,0,15,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10045,Diego,Cavalieri,40.0,189,86,0,0,0,Goalkeeper,,False,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1858,Lucas,Pezzini Leiva,36.0,179,74,33,32,2859,Midfielder,,False,1,2,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
2010,114778,Daniel Munthe,Agger,32.0,191,84,16,12,1093,Defender,,False,4,3,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,113796,Christian,Bjørnshøj Poulsen,35.0,183,76,12,9,744,Midfielder,,False,3,5,22,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,1739,Jonathon Patrick,Flanagan,29.0,181,79,7,7,621,Defender,,False,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2010,87896,Paul,Konchesky,40.0,178,69,15,15,1251,Defender,,False,0,4,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
