season,player_id,firstname,lastname,age,height,weight,appearances,lineups,minutes_played,position,rating,captain,substitutions_in,substitutions_out,bench_appearances,total_shots,shots_on_target,total_goals,assists,goals_conceded,saves,total_passes,key_passes,pass_accuracy,total_tackles,blocks,interceptions,total_duels,duels_won,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,fouls_committed,yellow_cards,yellow_red_cards,red_cards,penalties_won,penalties_committed,penalties_scored,penalties_missed,penalties_saved
2023,284493,Omotayo Daniel,Adaramola,21.0,177,68,0,0,0,Defender,,False,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,284549,Joseph Charles,Whitworth,20.0,179,,0,0,0,Goalkeeper,,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,293162,Jadan,Raymond,21.0,,,0,0,0,Midfielder,,False,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,308867,Seán,Grehan,20.0,,,0,0,0,Defender,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,284059,Luke Elliot,Plange,22.0,178,,0,0,0,Attacker,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,67971,Addji Keaninkin Marc-Israel,Guéhi,24.0,182,80,25,23,2023,Defender,6.876,False,2,4,2,4,0,0,1,0,0,1296,8,45,28,17,17,149,90,11,7,0,26,14,2,0,0,0,0,0,0,0
2023,19617,Michael Akpovie,Olise,23.0,184,76,19,14,1276,Midfielder,7.763157,False,5,6,5,36,21,10,6,0,0,606,36,0,19,0,11,219,109,73,40,0,43,13,0,0,0,0,0,1,0,0
2023,286458,Justin,Devenny,21.0,,,0,0,0,Midfielder,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,301295,Kaden Kai,Rodney,20.0,,,0,0,0,Midfielder,,False,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,3339,Cheick Oumar,Doucouré,24.0,180,73,11,11,922,Midfielder,7.036363,False,0,3,1,4,2,0,0,0,0,421,10,0,34,2,20,92,50,13,10,0,1,10,2,0,0,0,0,0,0,0
2023,288102,Adam James,Wharton,20.0,182,77,16,15,1305,Midfielder,7.11875,False,1,9,1,7,1,0,3,0,0,563,21,0,48,3,20,145,79,5,3,0,21,18,2,0,0,0,0,0,0,0
2023,18806,William James,Hughes,29.0,185,74,30,23,1898,Midfielder,6.827586,False,7,15,8,6,3,0,1,0,0,845,21,0,61,14,21,220,112,12,9,0,30,39,6,0,0,0,0,0,0,0
2023,18843,Jeffrey,Schlupp,32.0,178,72,29,17,1356,Midfielder,6.742857,False,12,15,15,15,11,2,2,0,0,323,19,0,38,2,7,185,92,37,17,0,15,24,1,0,0,0,0,0,0,0
