game_id,team,team_id,period,minute,second,type,formation
1729417,Burnley,184,2,45,0,FormationChange,4-4-2
1729417,Nottingham Forest,174,2,57,16,FormationChange,4-2-3-1
1729417,Nottingham Forest,174,2,79,30,FormationChange,3-4-3
1729417,Burnley,184,2,82,33,FormationChange,4-4-2
1729191,Man City,167,1,23,1,FormationChange,4-1-4-1
1729191,Burnley,184,2,73,17,FormationChange,4-4-2
1729191,Man City,167,2,79,14,FormationChange,4-1-4-1
1729191,Man City,167,2,94,30,FormationChange,4-1-4-1
1729191,Man City,167,1,0,0,FormationSet,4-2-3-1
1729190,Nottingham Forest,174,2,71,6,FormationChange,3-4-3
1729190,Arsenal,13,2,73,9,FormationChange,4-3-3
1729190,Arsenal,13,2,85,46,FormationChange,4-3-3
1729190,Nottingham Forest,174,2,89,45,FormationChange,4-3-3
1729190,Nottingham Forest,174,1,0,0,FormationSet,3-4-3
1729192,Bournemouth,183,2,75,0,FormationChange,4-2-3-1
1729192,West Ham,29,2,85,18,FormationChange,4-2-3-1
1729192,Bournemouth,183,1,0,0,FormationSet,4-2-3-1
1729193,Luton,95,1,0,0,FormationSet,3-5-2
1729194,Fulham,170,2,57,44,FormationChange,4-3-3
1729194,Everton,31,2,82,53,FormationChange,4-4-1-1
1729194,Fulham,170,1,0,0,FormationSet,4-3-3
1729196,Aston Villa,24,2,45,0,FormationChange,4-2-3-1
1729196,Aston Villa,24,2,63,11,FormationChange,19
1729196,Newcastle,23,1,0,0,FormationSet,4-3-3
1729195,Sheff Utd,163,2,81,33,FormationChange,4-3-3
1729195,Sheff Utd,163,1,0,0,FormationSet,3-4-3
1729197,Brentford,189,2,71,50,FormationChange,5-3-2
1729197,Tottenham,30,2,74,30,FormationChange,4-2-3-1
1729197,Tottenham,30,1,0,0,FormationSet,4-2-3-1
1729198,Chelsea,15,2,75,34,FormationChange,3-4-2-1
1729198,Liverpool,26,2,76,17,FormationChange,4-3-3
1729198,Chelsea,15,2,89,34,FormationChange,4-3-3
1729198,Liverpool,26,1,0,0,FormationSet,4-3-3
1729199,Wolves,161,2,62,25,FormationChange,4-2-3-1
1729199,Wolves,161,2,87,20,FormationChange,4-4-2
1729199,Man Utd,32,1,0,0,FormationSet,4-1-4-1
1729249,Nottingham Forest,174,2,69,43,FormationChange,4-2-3-1
1729249,Sheff Utd,163,2,73,46,FormationChange,3-4-2-1
1729249,Nottingham Forest,174,1,0,0,FormationSet,3-4-3
1729200,Fulham,170,2,63,6,FormationChange,4-3-3
1729200,Fulham,170,2,67,18,FormationChange,4-4-1-1
1729200,Brentford,189,2,78,37,FormationChange,4-4-2
1729200,Fulham,170,2,85,46,FormationChange,4-4-1-1
1729200,Brentford,189,2,88,24,FormationChange,4-4-2
1729200,Fulham,170,1,0,0,FormationSet,4-3-3
1729202,Liverpool,26,2,62,3,FormationChange,4-4-1-1
1729202,Bournemouth,183,2,62,40,FormationChange,4-2-3-1
1729202,Bournemouth,183,2,83,6,FormationChange,4-2-3-1
